Phylostratum	GeneID	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B32	B33	B34
0.8730048577376821	B4U62_12060	7531	10992	7372	5221	7472	7055	11067	7012	8888	9274	7938	9068	8250	8710	6526	4997	5044	7340	5506	2448	2684	3749	30	41	288	1204	1567	124	770	790	709
0.7404580152671757	B4U62_12065	1575	1618	1326	461	490	486	831	485	782	1115	1056	919	1005	1087	783	802	673	994	918	692	718	829	83	56	109	230	311	16	176	112	213
0.8730048577376821	B4U62_12070	2847	3402	2814	838	1053	964	1711	1062	1425	18776	23269	25890	41310	47813	28669	55260	51700	84217	49232	63086	48343	31959	6782	6577	3207	4153	5069	536	1200	879	1405
0.7404580152671757	B4U62_12075	1180	1131	1049	1313	1109	951	1102	761	1027	3894	3463	3087	5108	5878	4273	4606	4535	6742	4632	5029	5211	9978	1385	2083	7841	6045	11913	1129	2662	2164	3152
0.7404580152671757	B4U62_12080	2058	2124	1894	1386	1405	1273	1563	1130	1588	1800	1794	1607	1342	1235	1059	1028	896	1489	1239	789	937	1315	124	128	228	498	507	26	1052	829	1499
0.7404580152671757	B4U62_12085	1450	1656	979	1222	1237	985	1008	713	1058	2316	2606	1873	1736	1967	1464	1409	1402	2252	1374	1203	1282	1475	179	160	414	716	913	53	913	790	1242
0.8730048577376821	B4U62_12090	67	39	32	23	29	22	40	31	58	651	586	679	1201	1426	1005	1349	1263	1850	1441	1819	1462	1164	138	115	47	133	123	6	41	25	76
0.8730048577376821	B4U62_12095	57	70	43	29	32	37	53	42	45	1665	1497	1874	3419	3804	2532	4103	3561	5784	2902	4120	3346	2352	213	264	95	219	252	11	39	26	53
0.9310663890816564	B4U62_12100	454	449	375	740	1564	1389	1056	600	782	796	1154	916	514	315	347	382	308	427	348	301	242	208	6	2	14	106	134	0	27	25	41
0.8730048577376821	B4U62_12105	1513	1787	1484	333	723	559	1821	1056	1578	1958	1978	1938	2525	2364	1776	1328	1255	1579	3378	1544	1650	1158	36	29	72	250	325	22	134	95	193
0.9935230164237798	B4U62_12110	78	81	61	27	51	39	87	57	105	462	560	499	972	902	676	634	549	624	1810	947	1080	679	31	37	21	68	105	10	8	8	62
0.9935230164237798	B4U62_12115	7	4	6	10	11	13	16	8	16	58	92	80	112	101	94	64	80	111	114	77	83	143	40	83	1382	747	562	687	6	5	4
0.8730048577376821	B4U62_12120	2037	1700	1717	1007	1185	1098	1249	752	1128	1389	1193	1240	1568	1440	1156	1411	1122	1896	1595	960	1104	1386	200	177	300	809	696	40	393	332	399
0.7404580152671757	B4U62_12125	1776	1556	1591	1284	1365	1406	1479	908	1290	1995	1637	1749	1829	1522	1294	1552	1156	1785	1946	1325	1456	1893	121	82	234	820	1179	95	655	496	651
0.7404580152671757	B4U62_12130	17128	15973	14573	11622	12152	12728	14152	8811	11535	13633	11169	12733	10878	8037	6920	6949	5794	8737	9411	6231	7218	11139	953	966	1951	6046	5425	385	12841	8902	14345
0.8730048577376821	B4U62_12135	2380	2612	2094	879	1216	1105	2416	1524	2425	1857	1627	1619	1436	1227	1008	1212	920	1664	1011	558	731	1321	61	73	226	671	566	55	544	432	507
0.7404580152671757	B4U62_12140	1956	2307	1862	833	877	817	2042	1348	1985	1783	1678	1466	1300	1119	990	1352	1123	1788	1111	674	822	1677	151	184	265	886	677	57	481	434	495
0.7404580152671757	B4U62_12145	2628	2797	2412	1136	1364	1251	2662	1735	2644	2442	2510	2240	2118	1962	1495	2060	1659	2745	1847	1086	1277	2553	106	81	340	1355	1014	91	605	543	575
0.7404580152671757	B4U62_12150	22867	24545	19987	8474	9286	8517	13774	9514	15044	14098	11703	11794	10177	8175	6939	8818	6394	10944	8087	4203	5482	8976	670	683	1577	4961	4611	300	3923	2954	4667
0.7404580152671757	B4U62_12155	20815	21710	18788	6880	6522	6470	10794	7199	10745	11017	9429	9537	8493	5940	5516	4228	3817	5268	4216	2265	3400	4037	316	307	736	2312	2191	75	845	769	901
0.8730048577376821	B4U62_12160	6166	6133	5453	1790	1705	1783	3081	2081	3116	3178	2949	2759	2431	1891	1586	1401	1297	1737	1392	697	1010	1397	77	59	266	803	945	35	427	396	384
0.8945176960444137	B4U62_12165	561	435	461	160	196	143	290	225	296	374	368	298	286	227	226	235	203	306	189	89	145	256	8	3	43	175	244	5	147	138	163
0.7404580152671757	B4U62_12170	11586	11759	9874	6547	8678	9527	11187	7247	10191	14491	13406	13048	11300	9375	8112	8213	6513	10474	9678	4869	5910	8793	1939	2707	3337	8815	10144	463	6943	5534	8393
0.7404580152671757	B4U62_12175	1656	1784	1578	676	810	833	1019	701	890	1298	1427	1414	1132	1063	930	753	772	1005	576	439	545	780	28	20	54	207	303	32	625	493	781
0.7404580152671757	B4U62_12180	3657	3673	2942	1102	1059	1002	1387	984	1552	1808	1729	1640	1537	1433	1227	1023	852	1443	1046	623	745	1683	113	121	218	608	516	35	2632	2056	3262
0.7404580152671757	B4U62_12185	3836	3813	3000	1334	1128	1135	1548	1059	1614	2038	1940	1832	1584	1408	1206	1145	930	1471	911	582	745	1574	152	175	345	732	644	41	1916	1431	2301
0.7404580152671757	B4U62_12190	1934	1739	1499	705	692	609	1209	775	1102	1445	1273	1230	976	854	694	890	718	1228	731	452	634	1374	56	57	67	243	258	16	300	234	373
0.7404580152671757	B4U62_12195	2608	2450	1942	975	817	879	1777	1063	1720	2353	2175	1866	1525	1404	1127	1308	1078	2006	1132	686	902	2174	123	110	83	423	330	17	403	311	511
