Phylostratum	GeneID	MYC	INI	PRI	YFB	MFB
4	CC1G_00074T0	3569.1463575182975	4448.448742042603	5019.2150028977985	4993.7180905442565	5369.614021720369
1	CC1G_00075T0	3793.7703387131837	6023.9776935222235	6436.878764065949	7268.105200104994	9258.206954085594
1	CC1G_00076T0	4894.6981746704205	3850.5652705596985	4363.473737304737	3967.3589094286494	5459.717852638646
2	CC1G_00077T0	6078.750530696006	4612.898647499346	5554.151489233398	5423.546997378652	7727.136527966884
14	CC1G_00078T0	3111.52444099757	3611.6907964543607	4081.226306401594	3360.7108475351374	1839.7077644195033
1	CC1G_00079T0	7349.367185118293	7251.8062058095575	6513.972401199726	5815.426103100942	6278.100356520634
1	CC1G_00080T0	1976.7166241328014	2536.9139696546363	2783.9413052038453	2920.857884822956	3501.8965055238523
1	CC1G_00081T0	8653.158683366715	8162.49225593478	7453.811525216608	8227.20982507683	17627.25516815339
1	CC1G_00082T0	3987.291771788814	5671.851578944982	4238.543272002073	4358.596462822895	8734.88613562276
1	CC1G_00083T0	1121.4717389581322	1196.5992292668934	1146.271765433079	1012.87080188489	1597.086374623422
8	CC1G_00084T0	5924.388808244531	4986.30557078252	5796.02364552062	5816.351218934214	6794.891984185674
14	CC1G_00085T0	284.12433678443176	499.0806516570148	7321.39046959217	9375.490463251093	3058.0999222534574
1	CC1G_00086T0	6787.051343233124	5195.064176593531	4724.369771521307	2834.2235949085793	6443.729833674142
1	CC1G_00087T0	11978.287627239713	10089.40576473024	9814.457509448948	9835.547148860343	13558.00033643319
2	CC1G_00089T0	7264.070875337205	6880.0980177585125	5634.978892362174	4766.764532415168	5175.522002915181
1	CC1G_00090T0	6031.309425188068	4519.565358399315	4633.736948811073	4768.187312373285	3684.9274683467643
8	CC1G_00091T0	9523.31784102413	6352.031322734001	5994.237230409739	5859.703283009566	5424.98079689555
1	CC1G_00092T0	3610.732317592048	4275.133513399104	4890.890325565637	4698.586641139279	4872.490043047839
1	CC1G_00093T0	1242.5788312646011	2304.799132005544	2526.279178912372	2622.9641990547634	236.29060809890174
2	CC1G_00094T0	1055.8494066167568	777.6619687175524	1031.4931805986962	1160.3587748475443	2040.1480438136855
1	CC1G_00095T0	5592.686145227579	6587.827181488161	8312.668903351669	8636.58013293586	8691.108261921696
1	CC1G_00096T0	7770.289097591996	8732.099009270003	9417.903490685083	8486.600314313111	8877.215620532485
7	CC1G_00097T0	4533.051749940011	5991.920001367839	6434.48075361995	6651.666748108791	11187.044046013978
6	CC1G_00098T0	6347.787854851065	10050.275255105193	8972.575837584202	6802.10132713768	2977.6152587009965
1	CC1G_00099T0	4431.691771019596	5956.649667477969	6867.057576786324	6835.071786200353	3744.4145916945686
1	CC1G_00100T0	5939.818968865945	8365.067617489542	8335.342137451773	7302.13040430393	1637.5117853281965
2	CC1G_00101T0	17007.446475104967	16901.09864957435	15857.6458594333	16081.527566984874	15194.543638400917
2	CC1G_00102T0	1554.0539689119707	1996.5392414002383	2435.2952133119547	2979.047462411176	2398.2914534992947
1	CC1G_00103T0	5021.8905061083915	6643.646854759031	7532.014018863392	7111.914672054938	5219.508321858283
2	CC1G_00104T0	4503.585094099459	6745.168561694803	6831.635343724694	7651.818731161262	4300.112243036517
13	CC1G_00105T0	1161.4736083431062	675.80501327886	941.5083830387164	993.0256843959601	4158.755772069957
1	CC1G_00106T0	1956.5495995279425	1651.5165584691308	5849.675485403356	7698.571178956115	598.9378857728244
2	CC1G_00107T0	7221.151776247174	5915.7613445047855	6008.272732319467	6157.127943749204	4557.924931640305
1	CC1G_00108T0	6233.730918756285	6589.976858031962	7551.516546727092	7289.844945907568	5432.529041093812
2	CC1G_00109T0	6485.664560061739	7834.840126569507	6946.008184881665	6520.09595346029	4443.611928937608
2	CC1G_00110T0	6863.990326163435	5834.346597323993	5509.599227164097	4956.481485872717	3994.397903548736
9	CC1G_00111T0	3065.0348147230484	3902.801052729725	3649.8933989776397	4094.7963420248457	1817.0339226861638
1	CC1G_00112T0	3284.1140133024073	1769.4790246537216	1330.40768091417	1623.4815705195408	557.2895673033203
6	CC1G_00113T0	2400.1665378522775	2677.1726759048074	3029.1737436996486	2651.400048982901	1475.787434675713
1	CC1G_00114T0	2503.2072699003343	1825.0219948861734	2406.6880834871827	3090.4005539333043	672.749808361317
