Phylostratum	GeneID	Cleavage	Embryonic pharynx	Embryonic gut cavity	Gastrodermal cells	Muscle and neuron diff.	Organogenesis	Brain condensation	Organ maturation
1	FW_v1_tr_04606	1	1.33333333333333	0.8	9.16666666666667	12.875	16.7	27.1428571428571	19.2727272727273
7	FW_v1_tr_04607	4	4.33333333333333	6.4	7.83333333333333	2.125	0.3	1.21428571428571	1.18181818181818
1	FW_v1_tr_04608	13	10.3333333333333	22.6	36.0	34.875	26.2	35.3571428571429	32.0
1	FW_v1_tr_04609	9	7.66666666666667	11.6	27.8333333333333	23.375	28.7	56.7142857142857	45.6363636363636
2	FW_v1_tr_04610	0	10.0	7.6	34.6666666666667	29.375	17.2	20.0714285714286	11.8181818181818
1	FW_v1_tr_04611	0	1.33333333333333	1.8	3.16666666666667	14.375	28.1	971.642857142857	750.636363636364
1	FW_v1_tr_04612	39	18.6666666666667	20.4	3.66666666666667	4.5	4.0	1.71428571428571	0.636363636363636
14	FW_v1_tr_04613	0	0.666666666666667	1.6	43.6666666666667	40.5	27.6	40.5	26.3636363636364
1	FW_v1_tr_04614	1	7.0	4.2	1.0	2.25	4.0	9.21428571428571	11.4545454545455
12	FW_v1_tr_04615	106	86.6666666666667	107.4	15.6666666666667	17.875	5.6	1.64285714285714	0.0
12	FW_v1_tr_04616	90	88.6666666666667	102.4	15.6666666666667	17.375	6.2	0.857142857142857	0.181818181818182
1	FW_v1_tr_04617	2	0.0	0.0	2.66666666666667	1.5	0.2	11.0	6.18181818181818
2	FW_v1_tr_04618	6	0.333333333333333	4.4	0.833333333333333	3.875	2.0	4.71428571428571	4.54545454545455
1	FW_v1_tr_04619	3	20.3333333333333	21.0	27.8333333333333	24.25	18.8	30.8571428571429	16.2727272727273
14	FW_v1_tr_04620	8	38.3333333333333	26.4	39.3333333333333	34.125	36.5	32.5714285714286	28.8181818181818
1	FW_v1_tr_04621	0	0.0	0.0	0.0	0.125	0.0	2.71428571428571	2.18181818181818
2	FW_v1_tr_04622	0	10.3333333333333	8.6	7.83333333333333	5.625	10.9	9.21428571428571	3.18181818181818
1	FW_v1_tr_04623	0	34.0	47.8	89.5	111.125	86.1	83.7142857142857	49.2727272727273
13	FW_v1_tr_04624	12	6.0	10.0	22.8333333333333	34.375	34.1	99.0714285714286	60.9090909090909
5	FW_v1_tr_04625	0	0.0	0.2	0.833333333333333	1.375	1.4	6.28571428571429	12.5454545454545
4	FW_v1_tr_04626	0	0.0	0.0	0.0	0.5	1.3	10.4285714285714	9.81818181818182
1	FW_v1_tr_04627	0	1.0	2.0	17.6666666666667	11.125	4.7	7.85714285714286	7.81818181818182
13	FW_v1_tr_04628	3	7.0	9.6	17.6666666666667	37.375	24.9	96.2857142857143	58.0909090909091
1	FW_v1_tr_04629	0	1.0	0.0	3.16666666666667	10.125	11.3	36.4285714285714	25.3636363636364
2	FW_v1_tr_04630	13	12.0	19.8	10.0	11.5	3.5	16.7857142857143	14.6363636363636
2	FW_v1_tr_04631	1	17.3333333333333	21.8	42.5	27.125	25.8	56.5714285714286	48.7272727272727
1	FW_v1_tr_04633	0	1.0	2.8	17.6666666666667	30.0	27.9	49.9285714285714	47.2727272727273
2	FW_v1_tr_04634	6	3.0	4.0	7.83333333333333	10.875	4.5	16.0	13.8181818181818
1	FW_v1_tr_04635	0	17.6666666666667	11.2	9.83333333333333	41.375	48.4	230.428571428571	212.454545454545
1	FW_v1_tr_04636	1	4.66666666666667	10.6	10.5	15.125	7.1	5.14285714285714	1.0
1	FW_v1_tr_04637	36	52.3333333333333	58.2	48.3333333333333	42.5	34.8	78.7857142857143	52.8181818181818
1	FW_v1_tr_04638	1	3.66666666666667	9.2	15.1666666666667	17.125	12.8	12.2857142857143	5.81818181818182
1	FW_v1_tr_04639	17	32.0	22.2	7.66666666666667	6.125	2.7	2.35714285714286	1.09090909090909
1	FW_v1_tr_04640	4	2.0	11.6	3.5	7.125	8.0	28.9285714285714	25.1818181818182
1	FW_v1_tr_04641	1	0.0	1.2	10.0	4.75	5.1	12.7857142857143	14.5454545454545
14	FW_v1_tr_04642	0	0.333333333333333	0.0	1.83333333333333	36.875	30.4	29.3571428571429	31.3636363636364
2	FW_v1_tr_04643	0	0.333333333333333	6.6	5.5	2.5	2.2	6.78571428571429	4.72727272727273
1	FW_v1_tr_04644	4	20.3333333333333	32.8	55.8333333333333	67.25	57.5	162.928571428571	140.181818181818
14	FW_v1_tr_04645	0	30.3333333333333	17.6	23.3333333333333	31.125	14.1	24.7142857142857	15.7272727272727
1	FW_v1_tr_04646	0	0.0	0.0	0.0	0.125	0.1	2.5	2.36363636363636
1	FW_v1_tr_04647	81	37.6666666666667	101.2	87.5	123.875	103.0	310.0	254.545454545455
1	FW_v1_tr_04648	75	36.0	91.4	94.5	115.625	98.0	313.142857142857	252.545454545455
5	FW_v1_tr_04649	5	13.3333333333333	8.6	1.5	5.125	9.5	16.5714285714286	13.7272727272727
1	FW_v1_tr_04650	0	0.0	3.6	6.16666666666667	11.0	8.2	14.3571428571429	8.81818181818182
5	FW_v1_tr_04651	0	15.3333333333333	13.0	60.5	51.25	34.6	38.8571428571429	25.1818181818182
14	FW_v1_tr_04652	234	131.666666666667	207.8	29.6666666666667	22.75	18.7	6.64285714285714	6.90909090909091
1	FW_v1_tr_04653	20	13.0	14.0	9.5	12.0	14.3	21.2857142857143	16.7272727272727
14	FW_v1_tr_04654	0	0.0	0.2	1.33333333333333	1.75	1.5	20.6428571428571	21.8181818181818
14	FW_v1_tr_04655	0	6.0	8.4	2.66666666666667	4.375	4.1	6.35714285714286	4.90909090909091
4	FW_v1_tr_04656	6	12.3333333333333	26.8	45.6666666666667	44.0	40.1	98.2857142857143	79.8181818181818
5	FW_v1_tr_04657	5	9.66666666666667	9.8	5.5	5.125	2.8	1.5	1.45454545454545
9	FW_v1_tr_04658	9	42.3333333333333	66.4	141.666666666667	185.125	140.3	175.571428571429	144.727272727273
14	FW_v1_tr_04659	1	8.0	8.4	6.5	6.875	8.6	22.0714285714286	87.0909090909091
1	FW_v1_tr_04660	7	680.333333333333	507.2	658.833333333333	327.75	120.7	42.7857142857143	23.1818181818182
1	FW_v1_tr_04661	0	0.333333333333333	0.6	1.33333333333333	3.125	2.4	72.2142857142857	61.4545454545455
2	FW_v1_tr_04662	5	3.66666666666667	11.0	27.3333333333333	44.25	26.7	62.2857142857143	67.0909090909091
2	FW_v1_tr_04663	99	68.6666666666667	75.8	46.5	56.875	57.8	129.428571428571	110.363636363636
1	FW_v1_tr_04664	1	5.66666666666667	3.2	3.83333333333333	2.625	2.1	1.35714285714286	1.09090909090909
5	FW_v1_tr_04665	0	0.0	0.0	0.0	0.0	0.0	0.714285714285714	10.9090909090909
13	FW_v1_tr_04666	0	1.33333333333333	1.4	15.5	23.875	22.0	22.1428571428571	14.1818181818182
2	FW_v1_tr_04667	2	5.33333333333333	7.4	8.66666666666667	6.625	6.0	15.9285714285714	12.0
1	FW_v1_tr_04668	11	14.0	29.8	36.3333333333333	64.375	70.2	209.428571428571	232.727272727273
1	FW_v1_tr_04669	182	111.0	118.6	24.3333333333333	28.625	17.7	60.5714285714286	59.6363636363636
3	FW_v1_tr_04670	0	4.33333333333333	1.8	11.3333333333333	12.625	13.8	50.3571428571429	41.5454545454545
1	FW_v1_tr_04671	55	35.0	47.6	74.0	89.375	75.7	79.8571428571429	74.2727272727273
2	FW_v1_tr_04672	1	15.6666666666667	7.6	16.6666666666667	22.625	17.0	35.2142857142857	19.1818181818182
1	FW_v1_tr_04673	3	2.33333333333333	7.2	1.5	0.75	0.7	1.85714285714286	1.0
1	FW_v1_tr_04674	4	13.3333333333333	13.0	80.3333333333333	130.5	88.2	135.214285714286	101.545454545455
1	FW_v1_tr_04675	11	42.6666666666667	52.6	86.1666666666667	68.625	51.5	86.9285714285714	45.0
1	FW_v1_tr_04676	2	2.66666666666667	4.0	3.66666666666667	3.25	2.5	1.92857142857143	0.545454545454545
14	FW_v1_tr_04677	18	28.6666666666667	65.4	82.5	70.875	51.6	23.2142857142857	15.3636363636364
14	FW_v1_tr_04678	20	29.6666666666667	29.8	35.6666666666667	64.375	56.5	18.6428571428571	13.9090909090909
1	FW_v1_tr_04679	0	5.0	3.0	12.3333333333333	5.625	2.2	15.2857142857143	10.8181818181818
1	FW_v1_tr_04680	4	17.3333333333333	2.0	15.5	15.625	18.4	5.21428571428571	5.09090909090909
14	FW_v1_tr_04681	0	0.0	0.0	3.5	0.75	1.2	2.71428571428571	9.36363636363636
6	FW_v1_tr_04682	0	0.0	2.0	2.5	5.875	4.7	24.0714285714286	17.0909090909091
1	FW_v1_tr_04683	1	10.3333333333333	21.0	106.0	187.75	163.3	250.071428571429	172.272727272727
1	FW_v1_tr_04684	15	13.6666666666667	19.4	17.5	21.5	17.6	17.2857142857143	20.0
2	FW_v1_tr_04685	0	0.0	0.2	2.0	1.625	13.7	0.928571428571429	0.636363636363636
1	FW_v1_tr_04686	0	0.0	0.0	0.0	0.5	2.0	15.7857142857143	15.2727272727273
1	FW_v1_tr_04687	4	16.3333333333333	8.6	115.333333333333	104.125	88.6	55.6428571428571	31.8181818181818
1	FW_v1_tr_04688	10	17.6666666666667	24.4	13.0	14.875	6.8	19.2142857142857	11.0909090909091
3	FW_v1_tr_04689	1	4.66666666666667	17.6	129.0	158.375	164.5	594.285714285714	724.272727272727
14	FW_v1_tr_04690	0	88.0	285.8	19.6666666666667	8.125	3.1	0.0714285714285714	0.0909090909090909
3	FW_v1_tr_04692	21	30.6666666666667	70.6	26.8333333333333	49.0	38.3	43.1428571428571	31.1818181818182
1	FW_v1_tr_04693	32	29.3333333333333	30.8	14.3333333333333	18.5	12.1	13.2857142857143	15.4545454545455
4	FW_v1_tr_04694	0	0.0	0.0	6.33333333333333	41.25	36.3	24.2142857142857	12.8181818181818
1	FW_v1_tr_04695	37	58.3333333333333	56.8	15.3333333333333	11.625	7.6	14.8571428571429	25.5454545454545
6	FW_v1_tr_04696	0	0.0	0.4	4.16666666666667	21.125	30.6	90.7142857142857	54.0
1	FW_v1_tr_04697	11	2.66666666666667	2.0	4.5	9.25	10.6	16.5714285714286	8.45454545454546
1	FW_v1_tr_04698	28	18.6666666666667	34.0	72.8333333333333	66.625	64.2	123.0	115.272727272727
1	FW_v1_tr_04699	0	0.0	3.6	4.16666666666667	4.75	3.5	6.42857142857143	6.45454545454545
5	FW_v1_tr_04700	12	24.3333333333333	28.4	13.3333333333333	9.25	4.7	4.78571428571429	2.0
4	FW_v1_tr_04701	0	0.0	0.0	0.0	0.25	0.9	3.64285714285714	1.09090909090909
6	FW_v1_tr_04702	0	0.666666666666667	5.6	16.5	11.125	11.0	19.6428571428571	8.45454545454546
